name,pos,team,targets,rec,rec_yds,rec_td,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_broken_tackles_per_rec,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating
Amari Cooper,WR,CLE,10,7,90,0,6.0,82,11.7,8,1.1,13.6,0,0.0,0,0.0,0,97.9
David Njoku,TE,CLE,4,4,48,0,1.0,9,2.3,39,9.8,2.3,0,0.0,0,0.0,0,116.7
David Bell,WR,CLE,3,3,27,0,2.0,9,3.0,18,6.0,3.0,0,0.0,0,0.0,0,104.2
Jerome Ford,RB,CLE,4,3,25,1,1.0,4,1.3,21,7.0,1.8,0,0.0,1,0.25,0,130.2
Elijah Moore,WR,CLE,9,3,36,0,2.0,34,11.3,2,0.7,13.3,0,0.0,0,0.0,0,46.5
Jordan Akins,TE,CLE,1,1,2,0,0.0,0,0.0,2,2.0,0.0,0,0.0,0,0.0,0,79.2
Donovan Peoples-Jones,WR,CLE,4,1,7,0,0.0,-2,-2.0,9,9.0,4.3,0,0.0,0,0.0,0,39.6
Pierre Strong,RB,CLE,1,0,0,0,0.0,0,0.0,0,0.0,5.0,0,0.0,0,0.0,0,39.6
Harrison Bryant,TE,CLE,2,0,0,0,0.0,0,0.0,0,0.0,4.5,0,0.0,2,1.0,1,0.0
Marquise Goodwin,WR,CLE,2,0,0,0,0.0,0,0.0,0,0.0,41.5,0,0.0,0,0.0,0,39.6
