name,pos,team,targets,rec,rec_yds,rec_td,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_broken_tackles_per_rec,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating,week
Kadarius Toney,WR,KC,5,5,35,0,3.0,-2,-0.4,37,7.4,-0.4,2,2.5,0,0.0,0,95.8,2
Travis Kelce,TE,KC,9,4,26,1,1.0,12,3.0,14,3.5,5.9,1,4.0,1,0.11,0,88.7,2
Justin Watson,WR,KC,5,3,62,0,2.0,54,18.0,8,2.7,23.8,0,0.0,0,0.0,1,64.2,2
Noah Gray,TE,KC,3,3,38,0,2.0,11,3.7,27,9.0,3.7,1,3.0,0,0.0,0,118.7,2
Skyy Moore,WR,KC,4,3,70,1,2.0,37,12.3,33,11.0,14.3,0,0.0,0,0.0,0,156.2,2
Jerick McKinnon,RB,KC,3,3,24,0,0.0,0,0.0,24,8.0,0.0,0,0.0,0,0.0,0,100.0,2
Clyde Edwards-Helaire,RB,KC,2,2,17,0,1.0,-2,-1.0,19,9.5,-1.0,1,2.0,0,0.0,0,102.1,2
Marquez Valdes-Scantling,WR,KC,3,2,13,0,0.0,12,6.0,1,0.5,9.0,0,0.0,0,0.0,0,75.7,2
Rashee Rice,WR,KC,2,2,20,0,1.0,11,5.5,9,4.5,5.5,0,0.0,0,0.0,0,108.3,2
Isiah Pacheco,RB,KC,2,1,0,0,0.0,-7,-7.0,7,7.0,-1.5,0,0.0,0,0.0,0,56.2,2
Donovan Smith,RB,KC,1,1,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,79.2,2
Richie James,WR,KC,1,0,0,0,0.0,0,0.0,0,0.0,6.0,0,0.0,1,1.0,0,39.6,2
